"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","Firefox Version","Default Browser","Search Engine","Sync Setup","Shield ID","Branch","Familiar:Reasonsboxes","Independent from big companies:Reasonsboxes","Recommended by a friend:Reasonsboxes","Customizable:Reasonsboxes","Different from the usual:Reasonsboxes","Open-source:Reasonsboxes","Friendly:Reasonsboxes","Fast at loading pages:Reasonsboxes","Popular:Reasonsboxes","Stable- doesn’t crash:Reasonsboxes","Loved by the tech press:Reasonsboxes","Cool:Reasonsboxes","Easy to find on my computer:Reasonsboxes","Simple to use:Reasonsboxes","Full of features:Reasonsboxes","Secure:Reasonsboxes","Private:Reasonsboxes","Efficient:Reasonsboxes","Socially responsible:Reasonsboxes","Has a good reputation:Reasonsboxes","On my side:Reasonsboxes","Something I've been using for years:Reasonsboxes","Distinctive:Reasonsboxes","New Hidden Value","Loyal:Affect","Admiring:Affect","Friendly:Affect","Enthusiastic:Affect","Hooked:Affect","Disgusted:Affect","Frustrated:Affect","Unsatisfied:Affect","Annoyed:Affect","Turned off:Affect","Used an online encyclopedia such as Wikipedia:TasksA","Checked the weather online:TasksA","Visited a group-buying / deal site such as Groupon:TasksA","Watched a vlog:TasksA","Visited an online retail site or store such as Amazon:TasksA","Made a phone call over the internet:TasksA","Listened to an online radio station / service:TasksA","Uploaded / shared a video:TasksA","Used a music-streaming service:TasksA","Used an online dating service:TasksA","Listened to or watched a podcast:TasksA","Used a price comparison service:TasksA","Visited / used a blogging service:TasksA","Used voice search or voice command tools (e.g. Siri, Cortana):TasksA","Posted a comment in a forum:TasksA","Visited a job / recruitment site:TasksA","Visited a business news website:TasksA","Used a chat or instant messaging service:TasksA","I have not done any of these tasks in the last 7 days:TasksA","Visited a travel / vacation website:TasksB","Used a search engine:TasksB","Purchased a product online:TasksB","Used a map or directions service:TasksB","Read or sent an email:TasksB","Posted a review of a product, company or service:TasksB","Visited / used a social network:TasksB","Visited an online casino, gambling, betting or lottery service:TasksB","Used website to order take-away food for delivery:TasksB","Watched sports coverage or highlights online:TasksB","Sold a product online:TasksB","Uploaded / shared a photo:TasksB","Used an internet banking service:TasksB","Visited an online auction site:TasksB","Watched a video clip or visited a video-sharing site:TasksB","Visited a news website:TasksB","Searched for a product or service you want to buy:TasksB","Used a chat or instant messaging service:TasksB","I have not done any of these tasks in the last 7 days:TasksB","Opensource:Shared Values","Independant:Shared Values","NetNeutrality:Shared Values","Available:Shared Values","Privacy:Shared Values","workhours","nonworkhours","primaryness"
"44","Sep 14, 2018 11:31:05 am","Sep 14, 2018 11:31:10 am","Disqualified","","","English","","","1536949865_5b9bfe693838a2.91972541","","","","","","","","","","","Independent","","Customizable","","Opensource","","","","","","","","","Full of features","","","","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","Sep 14, 2018 12:08:24 pm","Sep 14, 2018 12:08:29 pm","Disqualified","","","English","","","1536952104_5b9c07288dc654.74632395","","","","","","","","","","","","Recommended","Customizable","","","","Fast","","Stable","","","","","","","","","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","Sep 14, 2018 12:11:56 pm","Sep 14, 2018 12:12:05 pm","Disqualified","","","English","","","1536952315_5b9c07fbcee528.42932196","","","","","","","","","","","","","","Different","","","Fast","","Stable","","","","","","","","","","","On my side","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","Sep 14, 2018 12:15:36 pm","Sep 14, 2018 12:15:43 pm","Disqualified","","","English","","","1536952536_5b9c08d8cef2d5.98088759","","","","","","","","","","","","","","","","","","","","","","","Simple","","","","Efficient","Socially responsible","Good reputation","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","Sep 14, 2018 1:10:17 pm","Sep 14, 2018 1:10:25 pm","Disqualified","","","English","","","1536955817_5b9c15a9c406d7.14489359","","","","","","","","","","","","","","","Opensource","Friendly","","","","","","","","Full of features","Secure","","","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","Sep 14, 2018 1:15:21 pm","Sep 14, 2018 1:15:27 pm","Disqualified","","","English","","","1536956121_5b9c16d9365de1.06240675","","","","","","","","","","","","","Customizable","","","","","","Stable","","","Easy to find","","","Secure","","","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","Sep 14, 2018 1:26:59 pm","Sep 14, 2018 1:27:05 pm","Disqualified","","","English","","","1536956819_5b9c1993ba5b84.60933269","","","","","","","","","","","","Recommended","","","","","","","","","","","","","","","Efficient","","","On my side","Been using for years","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","Sep 14, 2018 1:27:11 pm","Sep 14, 2018 1:27:17 pm","Disqualified","","","English","","","1536956830_5b9c199e0c9502.48404838","","","","","","","","","","","Independent","","","","Opensource","","","","","","","","","","","","","","Good reputation","","Been using for years","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","Sep 14, 2018 1:28:01 pm","Sep 14, 2018 1:28:08 pm","Disqualified","","","English","","","1536956881_5b9c19d1599d53.04188502","","","","","","","","","","","","","","","Opensource","","","Popular","","","","","","Full of features","","","Efficient","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","Sep 14, 2018 1:28:16 pm","Sep 14, 2018 1:28:23 pm","Disqualified","","","English","","","1536956896_5b9c19e08be4c7.71713947","","","","","","","","","","","Independent","","","Different","","","","","","","","","Simple","","Secure","","","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
